JUDUL BUKU;PENULIS/PENGARANG;PENERBIT;TANGGAL/BULAN/TAHUN PEROLEHAN;BARANG;HARGA SATUAN;HARGA TOTAL 
Manfaat Tanaman Keras Indonesia;Soebiyanto;Karya Mandiri Nusantara;3 JANUARI 2021;1; 35.000 ;35.000
Referensi Matematika dalam Kehidupan Manusia 4;"Dr. Wahyudin; Drs. Sudrajat,M.Pd.";IPA Abong;3 JANUARI 2021;1; 55.000 ;55.000
Budi Daya Anggrek;Novriyanti;Karya Mandiri Nusantara;3 JANUARI 2021;1; 37.500 ;37.500
Keaajaiban Adab Pertengahan 2;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Fiqhul Haidh  (kajian Tentang Fiqih);Muhammad bin Abdil qohar;Megah Jaya;3 JANUARI 2021;1; 50.000 ;50.000
Selayang Pandang Gorontalo;Ir. Nugroho Yuananto;Intan Pariwara;3 JANUARI 2021;1; 38.500 ;38.500
Ayo, Bangun untuk Salat Subuh;Dewi Atuti;Imperial Bhakti Utama;3 JANUARI 2021;1; 30.000 ;30.000
Kisah-Kisah dalam Al-Qur'an 1 (Ulul Azmi);Miftah F.;Megah Jaya;3 JANUARI 2021;1; 32.000 ;32.000
Bencana Alam Geologi;P. Heru Susila;Pustaka Tiga Kelana;3 JANUARI 2021;1; 39.400 ;39.400
Perkembangan Masyarakat pada Masa Kerajaan Hindu Buddha serta Peninggalannya;Sucipto;Tiga Serangkai;3 JANUARI 2021;1; 38.000 ;38.000
Kisah-Kisah Rosulullah;Abbas Ali Musawi;Trisula Adisakti;3 JANUARI 2021;1; 35.000 ;35.000
Pengetahuan tentang Mata Uang;Irwan Kusdinar;Sarana Panca Karya Nusa;3 JANUARI 2021;1; 31.100 ;31.100
Karakter Diri di Balik Juz Al Qur'an;H. Ziyad Ul-Haq At-Tubany;Rahma Media Pustaka;3 JANUARI 2021;1; 50.000 ;50.000
Selayang Pandang Gunung Lawu (Wisata dan Mitos);Suryo Domas Sri PB.;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Ensiklopedia Sejarah dan Budaya Jilid 4  Revolusi dan kemerdekaan unifikasi dan kolonisasi;Miranda Smith;Lentera Abadi;3 JANUARI 2021;1; 150.000 ;150.000
Ziarah Makam Walisongo;Hardjana HP;Mediatama;3 JANUARI 2021;1; 38.000 ;38.000
Kesehatan di Sekolah;Pung Pribadi;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Sumber Air Panas Sari Ater;Choirul Anwar;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Indonesiaku 5 Provinsi Jawa Timur;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
"Pi;kades Sukses pembangunan Beres";Agus Wijatmoko;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Keaajaiban Dunia Baru 6;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Keajaiban Dunia Moder Jilid 5;Diana Tri Hartati;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
"Ilmu dan Aplikasi Pendidikan IV ""Pendidikan Lintas Bidang""";Tim Pengembang Ilmu Pend.FIP UPI;Imperial Bhakti Utama;3 JANUARI 2021;1; 93.500 ;93.500
Orang-Orang Belanda di Pintu Darurat;M. Unggul Wibowo;Mediatama;3 JANUARI 2021;1; 34.500 ;34.500
Jelajah Museum Jawa Timur dan Bali;Vivied D. Utami;Empat Pilar;3 JANUARI 2021;1; 30.000 ;30.000
Sejarah Nenek Moyang Jawa;Radhita Subalidinata dan Bisri M. Djaelani;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Efek Rumah Kaca;Siti Mukaromah;Mediatama;3 JANUARI 2021;1; 38.000 ;38.000
Indonesiaku 33 Provinsi Papua;"Rifan Silvia Eka Putra; Nurul Magfirotunnisa; Putri Lutfi Ifafah";Karya Mandiri Nusantara;3 JANUARI 2021;1; 38.000 ;38.000
Adab mulia terhadab guru;Nuha Rifqia;Karya Mandiri Nusantara;3 JANUARI 2021;1; 34.500 ;34.500
Mengenal Pahlawan;Devi Andriana;Mitra Aksara Panaitan;3 JANUARI 2021;1; 38.700 ;38.700
Gaptek, No Way 2 (Microsoft Word) ;ES. Ningrum;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Terbang ke Angkasa Bersama Observatorium Bosscha;Keen Achroni;Mediatama;3 JANUARI 2021;1; 30.000 ;30.000
Indahnya Budaya Tertib lalu lintas;Rohmat Yuliato;Karya Mandiri Nusantara;3 JANUARI 2021;1; 36.000 ;36.000
Sejarah Eropa;Drs. Herimanto, M.Si;Mediatama;3 JANUARI 2021;1; 50.000 ;50.000
Energi;Ichwan Budi U, Edi Sutrisno;Suara Media Sejahtera;3 JANUARI 2021;1; 37.500 ;37.500
Ayo Berlatih Menulis Surat;Titiek Maryuni;Mediatama;3 JANUARI 2021;1; 37.500 ;37.500
Anugerah Gunung Merapi;Wiwik Sulistyorini;Mediatama;3 JANUARI 2021;1; 33.500 ;33.500
Aneka Cabang Olah Raga;Aminudin;Mutiara Ilmu Bandung;3 JANUARI 2021;1; 34.500 ;34.500
